"id","idCurso","idEstudiante","idRepresentante","idVendedor","idNivel","idModalidad","numero","observaciones","valorAcordado","comision","tipoVendedor","libro","libroFecha","contrato","estado","created_at","updated_at"
"1","1","1508","29","12",NULL,NULL,"0","2X1 CON SU FAMILIAR NIVEL A1","200.00","14.00","1","0","2025-03-13 13:36:34",NULL,"0","2024-07-11 00:32:37","2026-05-01 14:23:32"
"2","1","1509","30","13",NULL,NULL,"0","2X1 APLICO CON UN FAMILIAR  UN SOLO NIVEL A1 ","200.00","0.00","2","0","2025-03-13 13:36:34",NULL,"0","2024-07-11 12:59:44","2026-05-01 14:23:32"
"3","1","1510","31","12",NULL,NULL,"0","MODULO A1 CANCELA POR MENSUALIDADES DURACION POR 4 MESES SU CUOTA INICIAL FUE DE $125","350.00","24.50","1","0","2025-03-13 13:36:34",NULL,"0","2024-07-11 13:17:34","2026-05-01 14:23:32"
"4","1","1511","32","13",NULL,NULL,"0","NIVEL A1 CANCELA POR MENSUALIDADES SU CUOTA INICIAL FUE DE $125","350.00","0.00","2","0","2025-03-13 13:36:34",NULL,"0","2024-07-11 13:37:27","2026-05-01 14:23:32"
"5","1","1512","33","4",NULL,NULL,"0","NIVEL A1 APLICA MEDIA BECA ES ESTUDIANTE DEL COLEGIO MANTA SU CUOTA INICIAL FUE DE $57,50","170.00","0.00","2","0","2025-03-13 13:36:34",NULL,"0","2024-07-11 15:59:35","2026-05-01 14:23:32"
"6","28","1513","34","14",NULL,NULL,"0","CANCELA POR MENSUALIDADES, SU CUOTA INICIAL FUE DE $190 ","3900.00","0.00","2","0","2025-03-13 13:36:34",NULL,"4","2024-07-11 16:27:34","2026-05-01 14:23:32"
"7","28","1514","29","12",NULL,NULL,"0","2x1 CON UN FAMILIAR UN SOLO NIVEL A1 ","200.00","12.00","1","0","2025-03-13 13:36:34",NULL,"4","2024-07-11 16:47:26","2026-05-11 14:25:44"
"8","28","1515","36","35",NULL,NULL,"0","TIENE HASTA FIN DE MES DE JUNIO PARA CANCELAR LOS $121 PARA COMPLETAR EL VALOR DEL CURSO, DE LO COTARRIO CANCELA POR MENSUALIDADES ","351.00","0.00","2","0","2025-03-13 13:36:34",NULL,"4","2024-07-11 16:56:11","2026-05-01 14:23:32"
"9","28","1516","37","4",NULL,NULL,"0","CANCELA POR MENSUALIDADES SU CUOTA INICIAL FUE DE $110,00","410.00","0.00","2","0","2025-03-13 13:36:34",NULL,"4","2024-07-11 17:05:24","2026-05-01 14:23:32"
"10","28","1517","38","14",NULL,NULL,"0","CANCELO UN SOLO NIVEL PAGO DE CONTADO ","351.00","0.00","2","0","2025-03-13 13:36:34",NULL,"4","2024-07-11 17:13:16","2026-05-01 14:23:32"
